AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLOGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION;FECHA_AÑO;FECHA_MES;FECHA_DIA;FECHA_HORA;FECHA_DIASEMANA
AU FRONDIZI;DESCENDENTE;1800.0;LLUVIOSO;MOJADA/HUMEDA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;8;17;10;Miércoles
AU PERITO MORENO;ASCENDENTE;100.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;17;14;Miércoles
AU 25 DE MAYO;DESCENDENTE;1000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;17;15;Miércoles
AU DELLEPIANE;ASCENDENTE;600.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;18;7;Jueves
AV. LUGONES;DESCENDENTE;10000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;8;18;13;Jueves
AU 25 DE MAYO;ASCENDENTE;4500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2022;8;19;10;Viernes
AU DELLEPIANE;DESCENDENTE;2600.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;8;19;19;Viernes
AU 25 DE MAYO;DESCENDENTE;2800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;20;0;Sábado
AU 25 DE MAYO;DESCENDENTE;9000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;8;20;1;Sábado
AU CAMPORA;ASCENDENTE;2300.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;20;5;Sábado
AU DELLEPIANE;DESCENDENTE;2700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;20;14;Sábado
TRANSICION RAMAL 2;RAMAL DE ENLACE;4254.418498168498;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;21;0;Domingo
AU 25 DE MAYO;DESCENDENTE;5500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;21;7;Domingo
AU DELLEPIANE;ASCENDENTE;3400.0;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;22;6;Lunes
AU PERITO MORENO;ASCENDENTE;4600.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2022;8;22;14;Lunes
AU 25 DE MAYO;DESCENDENTE;800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0;2022;8;22;17;Lunes
AU 25 DE MAYO;DESCENDENTE;7000.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;22;18;Lunes
AU 25 DE MAYO;ASCENDENTE;3500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;23;7;Martes
AU ILLIA;ASCENDENTE;2400.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;23;15;Martes
AV. LUGONES;DESCENDENTE;7600.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;8;23;21;Martes
AU DELLEPIANE;ASCENDENTE;4000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;24;8;Miércoles
AU DELLEPIANE;DESCENDENTE;1000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;8;24;20;Miércoles
PASEO DEL BAJO;DIST. SUR - RAMAL 1;4254.418498168498;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;25;1;Jueves
AU PERITO MORENO;ASCENDENTE;4500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;8;25;6;Jueves
AU ILLIA;ASCENDENTE;5300.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;25;18;Jueves
AU ILLIA;DESCENDENTE;4000.0;NIEBLA, BRUMA O HUMO;MOJADA/HUMEDA;0;0;OBSTACULO NO FIJO;0;6;0;0;2022;8;26;7;Viernes
AU ILLIA;ASCENDENTE;6500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;8;26;13;Viernes
AU 25 DE MAYO;DESCENDENTE;2100.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0;2022;8;26;14;Viernes
AV. CANTILO;ASCENDENTE;10300.0;LLUVIOSO;MOJADA/HUMEDA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;8;26;23;Viernes
AU DELLEPIANE;ASCENDENTE;2400.0;BUENO;MOJADA/HUMEDA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;8;27;7;Sábado
AU DELLEPIANE;DESCENDENTE;4600.0;BUENO;MOJADA/HUMEDA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;8;27;8;Sábado
AU 25 DE MAYO;DESCENDENTE;7700.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;27;21;Sábado
AU ILLIA;ASCENDENTE;3900.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;1;2022;8;28;0;Domingo
AU FRONDIZI;ASCENDENTE;2500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;28;1;Domingo
AV. LUGONES;DESCENDENTE;4800.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;28;8;Domingo
AV. CANTILO;ASCENDENTE;10400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2022;8;28;19;Domingo
AU PERITO MORENO;DESCENDENTE;5300.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2022;8;29;9;Lunes
AU DELLEPIANE;ASCENDENTE;2600.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;1;2022;8;29;12;Lunes
AU ILLIA;DESCENDENTE;1000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0;2022;8;30;9;Martes
AV. CANTILO;ASCENDENTE;8600.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;30;18;Martes
DIST. 9 DE JULIO;RAMAL 2 BIS;4254.418498168498;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2022;8;31;15;Miércoles
AU PERITO MORENO;DESCENDENTE;4000.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;9;2;5;Viernes
